cluster_dbscan,total_siniestros,% fallecidos,% lesionados,% ilesos,% usuarios_peaton,% usuarios_moto,% usuarios_particular
0,8365,4.01673640167364,50.7112970711297,45.27196652719665,6.7782426778242675,24.817692767483564,31.51225343693963
8,867,3.4602076124567476,48.78892733564014,47.75086505190311,7.612456747404845,23.18339100346021,32.98731257208766
1,304,6.578947368421052,51.64473684210527,41.776315789473685,7.565789473684211,21.38157894736842,29.605263157894733
3,199,4.522613065326634,50.25125628140703,45.22613065326633,4.522613065326634,18.592964824120603,38.19095477386934
40,177,6.779661016949152,49.717514124293785,43.50282485875706,3.954802259887006,37.85310734463277,28.8135593220339
41,172,7.55813953488372,45.348837209302324,47.093023255813954,11.046511627906977,18.6046511627907,47.093023255813954
18,168,7.142857142857142,60.11904761904761,32.73809523809524,5.357142857142857,20.238095238095237,22.023809523809522
14,162,3.7037037037037033,47.53086419753087,48.76543209876543,3.7037037037037033,29.01234567901235,31.48148148148148
36,162,3.0864197530864197,49.382716049382715,47.53086419753087,7.4074074074074066,16.666666666666664,43.20987654320987
11,154,12.987012987012985,51.298701298701296,35.714285714285715,6.493506493506493,16.883116883116884,31.818181818181817
43,124,4.032258064516129,54.03225806451613,41.935483870967744,5.64516129032258,29.03225806451613,29.838709677419356
12,116,8.620689655172415,42.241379310344826,49.137931034482754,8.620689655172415,15.517241379310345,40.51724137931034
37,94,4.25531914893617,61.702127659574465,34.04255319148936,2.127659574468085,10.638297872340425,13.829787234042554
49,75,5.333333333333334,49.333333333333336,45.33333333333333,1.3333333333333335,46.666666666666664,29.333333333333332
19,69,4.3478260869565215,46.3768115942029,49.275362318840585,1.4492753623188406,7.246376811594203,31.88405797101449
57,66,12.121212121212121,45.45454545454545,42.42424242424242,6.0606060606060606,30.303030303030305,34.84848484848485
6,63,15.873015873015872,38.095238095238095,46.03174603174603,7.936507936507936,19.047619047619047,23.809523809523807
31,61,1.639344262295082,62.295081967213115,36.0655737704918,3.278688524590164,11.475409836065573,19.672131147540984
47,59,1.694915254237288,54.23728813559322,44.06779661016949,3.389830508474576,20.33898305084746,25.423728813559322
21,59,10.16949152542373,47.45762711864407,42.3728813559322,1.694915254237288,13.559322033898304,54.23728813559322
20,57,10.526315789473683,38.59649122807017,50.877192982456144,12.280701754385964,19.298245614035086,28.07017543859649
50,56,3.571428571428571,44.642857142857146,51.78571428571429,3.571428571428571,35.714285714285715,32.142857142857146
48,55,3.6363636363636362,49.09090909090909,47.27272727272727,7.2727272727272725,18.181818181818183,36.36363636363637
22,53,9.433962264150944,54.71698113207547,35.84905660377358,9.433962264150944,11.320754716981133,26.41509433962264
46,52,11.538461538461538,50.0,38.46153846153847,13.461538461538462,3.8461538461538463,17.307692307692307
23,47,6.382978723404255,44.680851063829785,48.93617021276596,0.0,36.17021276595745,34.04255319148936
69,47,2.127659574468085,59.57446808510638,38.297872340425535,4.25531914893617,25.53191489361702,36.17021276595745
63,47,2.127659574468085,51.06382978723404,46.808510638297875,4.25531914893617,38.297872340425535,14.893617021276595
17,46,4.3478260869565215,43.47826086956522,52.17391304347826,6.521739130434782,10.869565217391305,23.91304347826087
54,45,0.0,60.0,40.0,2.2222222222222223,13.333333333333334,37.77777777777778
38,45,4.444444444444445,57.77777777777777,37.77777777777778,6.666666666666667,22.22222222222222,35.55555555555556
5,43,9.30232558139535,48.837209302325576,41.86046511627907,0.0,20.930232558139537,48.837209302325576
7,43,6.976744186046512,39.53488372093023,53.48837209302325,18.6046511627907,4.651162790697675,44.18604651162791
13,40,7.5,55.00000000000001,37.5,2.5,5.0,15.0
27,38,7.894736842105263,50.0,42.10526315789473,7.894736842105263,7.894736842105263,34.21052631578947
4,37,0.0,51.35135135135135,48.64864864864865,5.405405405405405,8.108108108108109,56.75675675675676
24,36,0.0,52.77777777777778,47.22222222222222,0.0,19.444444444444446,41.66666666666667
28,36,2.7777777777777777,63.888888888888886,33.33333333333333,8.333333333333332,0.0,27.77777777777778
25,32,12.5,31.25,56.25,3.125,31.25,34.375
26,32,6.25,59.375,34.375,21.875,28.125,25.0
56,30,6.666666666666667,53.333333333333336,40.0,13.333333333333334,23.333333333333332,33.33333333333333
35,29,3.4482758620689653,51.724137931034484,44.827586206896555,3.4482758620689653,13.793103448275861,20.689655172413794
32,28,0.0,50.0,50.0,3.571428571428571,14.285714285714285,39.285714285714285
10,28,3.571428571428571,50.0,46.42857142857143,3.571428571428571,39.285714285714285,21.428571428571427
67,27,0.0,51.85185185185185,48.148148148148145,3.7037037037037033,37.03703703703704,44.44444444444444
33,26,7.6923076923076925,50.0,42.30769230769231,15.384615384615385,34.61538461538461,15.384615384615385
15,26,7.6923076923076925,57.692307692307686,34.61538461538461,7.6923076923076925,19.230769230769234,30.76923076923077
71,26,11.538461538461538,50.0,38.46153846153847,11.538461538461538,7.6923076923076925,30.76923076923077
66,26,0.0,50.0,50.0,11.538461538461538,34.61538461538461,42.30769230769231
62,26,0.0,61.53846153846154,38.46153846153847,3.8461538461538463,50.0,19.230769230769234
58,24,4.166666666666666,58.333333333333336,37.5,12.5,29.166666666666668,8.333333333333332
53,23,0.0,47.82608695652174,52.17391304347826,4.3478260869565215,43.47826086956522,26.08695652173913
64,23,8.695652173913043,39.130434782608695,52.17391304347826,13.043478260869565,34.78260869565217,21.73913043478261
16,23,4.3478260869565215,47.82608695652174,47.82608695652174,0.0,13.043478260869565,56.52173913043478
76,23,0.0,65.21739130434783,34.78260869565217,0.0,17.391304347826086,78.26086956521739
44,22,4.545454545454546,50.0,45.45454545454545,9.090909090909092,18.181818181818183,31.818181818181817
61,21,0.0,57.14285714285714,42.857142857142854,9.523809523809524,23.809523809523807,28.57142857142857
42,21,9.523809523809524,52.38095238095239,38.095238095238095,4.761904761904762,52.38095238095239,19.047619047619047
9,20,0.0,50.0,50.0,5.0,40.0,40.0
2,20,5.0,60.0,35.0,5.0,35.0,15.0
68,20,0.0,60.0,40.0,10.0,45.0,25.0
72,20,20.0,45.0,35.0,0.0,20.0,30.0
52,19,5.263157894736842,47.368421052631575,47.368421052631575,10.526315789473683,15.789473684210526,31.57894736842105
70,19,0.0,52.63157894736842,47.368421052631575,15.789473684210526,10.526315789473683,21.052631578947366
59,19,15.789473684210526,42.10526315789473,42.10526315789473,0.0,42.10526315789473,26.31578947368421
39,18,11.11111111111111,44.44444444444444,44.44444444444444,5.555555555555555,5.555555555555555,33.33333333333333
55,18,5.555555555555555,55.55555555555556,38.88888888888889,0.0,33.33333333333333,16.666666666666664
45,18,0.0,50.0,50.0,0.0,22.22222222222222,22.22222222222222
74,18,0.0,77.77777777777779,22.22222222222222,5.555555555555555,5.555555555555555,44.44444444444444
65,17,5.88235294117647,47.05882352941176,47.05882352941176,5.88235294117647,23.52941176470588,35.294117647058826
30,17,0.0,52.94117647058824,47.05882352941176,0.0,23.52941176470588,11.76470588235294
51,17,17.647058823529413,41.17647058823529,41.17647058823529,11.76470588235294,41.17647058823529,23.52941176470588
77,17,5.88235294117647,52.94117647058824,41.17647058823529,5.88235294117647,23.52941176470588,47.05882352941176
34,16,12.5,43.75,43.75,0.0,12.5,50.0
73,16,6.25,56.25,37.5,0.0,56.25,25.0
75,16,0.0,56.25,43.75,6.25,50.0,25.0
29,15,6.666666666666667,33.33333333333333,60.0,6.666666666666667,0.0,66.66666666666666
60,15,0.0,60.0,40.0,26.666666666666668,13.333333333333334,13.333333333333334
78,15,6.666666666666667,40.0,53.333333333333336,0.0,53.333333333333336,13.333333333333334
79,14,7.142857142857142,28.57142857142857,64.28571428571429,7.142857142857142,7.142857142857142,42.857142857142854
